Album,Artist,City,Company,Composer,Country,CustomerID,Email,FirstName,Genre,InvoiceDate,InvoiceID,LastName,MediaType,Phone,PostalCode,Region,State,Track,Bytes,Milliseconds,Number of Records,Quantity,Sales,UnitPrice
Balls to the Wall,Accept,Stuttgart,,,Germany,2,leonekohler@surfeu.de,Leonie,Rock,1/1/08 00:00,1,Kahler,Protected AAC audio file,+49 0711 2842222,70174,Europe,,Balls to the Wall,5.51M,342562,1,4,3.96,0.99
Restless and Wild,Accept,Stuttgart,,"F. Baltes, R.A. Smith-Diesel, S. Kaufman, U. Dirkscneider & W. Hoffman",Germany,2,leonekohler@surfeu.de,Leonie,Rock,1/1/08 00:00,1,Kahler,Protected AAC audio file,+49 0711 2842222,70174,Europe,,Restless and Wild,4.33M,252051,1,4,3.96,0.99
For Those About To Rock We Salute You,AC/DC,Oslo,,"Angus Young, Malcolm Young, Brian Johnson",Norway,4,bjorn.hansen@yahoo.no,Bjarn,Rock,1/2/08 00:00,2,Hansen,MPEG audio file,+47 22 44 22 22,171,Europe,,Breaking The Rules,8.60M,263288,1,1,0.99,0.99
For Those About To Rock We Salute You,AC/DC,Oslo,,"Angus Young, Malcolm Young, Brian Johnson",Norway,4,bjorn.hansen@yahoo.no,Bjarn,Rock,1/2/08 00:00,2,Hansen,MPEG audio file,+47 22 44 22 22,171,Europe,,Inject The Venom,6.85M,210834,1,2,1.98,0.99
For Those About To Rock We Salute You,AC/DC,Oslo,,"Angus Young, Malcolm Young, Brian Johnson",Norway,4,bjorn.hansen@yahoo.no,Bjarn,Rock,1/2/08 00:00,2,Hansen,MPEG audio file,+47 22 44 22 22,171,Europe,,Evil Walks,8.61M,263497,1,2,1.98,0.99
For Those About To Rock We Salute You,AC/DC,Oslo,,"Angus Young, Malcolm Young, Brian Johnson",Norway,4,bjorn.hansen@yahoo.no,Bjarn,Rock,1/2/08 00:00,2,Hansen,MPEG audio file,+47 22 44 22 22,171,Europe,,Put The Finger On You,6.71M,205662,1,5,4.95,0.99
Let There Be Rock,AC/DC,Brussels,,AC/DC,Belgium,8,daan_peeters@apple.be,Daan,Rock,1/3/08 00:00,3,Peeters,MPEG audio file,+32 02 219 03 03,1000,Europe,,Dog Eat Dog,7.03M,215196,1,1,0.99,0.99
Let There Be Rock,AC/DC,Brussels,,AC/DC,Belgium,8,daan_peeters@apple.be,Daan,Rock,1/3/08 00:00,3,Peeters,MPEG audio file,+32 02 219 03 03,1000,Europe,,Overdose,12.07M,369319,1,2,1.98,0.99
Big Ones,Aerosmith,Brussels,,"Steven Tyler, Desmond Child",Belgium,8,daan_peeters@apple.be,Daan,Rock,1/3/08 00:00,3,Peeters,MPEG audio file,+32 02 219 03 03,1000,Europe,,Angel,9.99M,307617,1,2,1.98,0.99
Big Ones,Aerosmith,Brussels,,"Steven Tyler, Joe Perry",Belgium,8,daan_peeters@apple.be,Daan,Rock,1/3/08 00:00,3,Peeters,MPEG audio file,+32 02 219 03 03,1000,Europe,,Love In An Elevator,10.55M,321828,1,4,3.96,0.99
Big Ones,Aerosmith,Brussels,,"Steven Tyler, Jim Vallance",Belgium,8,daan_peeters@apple.be,Daan,Rock,1/3/08 00:00,3,Peeters,MPEG audio file,+32 02 219 03 03,1000,Europe,,Deuces Are Wild,7.07M,215875,1,5,4.95,0.99
Big Ones,Aerosmith,Brussels,,"Steven Tyler, Tom Hamilton",Belgium,8,daan_peeters@apple.be,Daan,Rock,1/3/08 00:00,3,Peeters,MPEG audio file,+32 02 219 03 03,1000,Europe,,Janie's Got A Gun,10.87M,330736,1,5,4.95,0.99
Audioslave,Audioslave,Edmonton,Telus,Audioslave/Chris Cornell,Canada,14,mphilips12@shaw.ca,Mark,Rock,1/6/08 00:00,4,Philips,MPEG audio file,+1 (780) 434-4554,T6G 2C7,North  America,AB,Set It Off,6.32M,263262,1,1,0.99,0.99
Plays Metallica By Four Cellos,Apocalyptica,Edmonton,Telus,Apocalyptica,Canada,14,mphilips12@shaw.ca,Mark,Metal,1/6/08 00:00,4,Philips,MPEG audio file,+1 (780) 434-4554,T6G 2C7,North  America,AB,Master Of Puppets,14.38M,436453,1,2,1.98,0.99
Warner 25 Anos,Ant̫nio Carlos Jobim,Edmonton,Telus,,Canada,14,mphilips12@shaw.ca,Mark,Jazz,1/6/08 00:00,4,Philips,MPEG audio file,+1 (780) 434-4554,T6G 2C7,North  America,AB,Angela,5.57M,169508,1,3,2.97,0.99
Plays Metallica By Four Cellos,Apocalyptica,Edmonton,Telus,Apocalyptica,Canada,14,mphilips12@shaw.ca,Mark,Metal,1/6/08 00:00,4,Philips,MPEG audio file,+1 (780) 434-4554,T6G 2C7,North  America,AB,Welcome Home (Sanitarium),11.41M,350197,1,3,2.97,0.99
Facelift,Alice In Chains,Edmonton,Telus,Jerry Cantrell,Canada,14,mphilips12@shaw.ca,Mark,Rock,1/6/08 00:00,4,Philips,MPEG audio file,+1 (780) 434-4554,T6G 2C7,North  America,AB,Bleed The Freak,7.85M,241946,1,3,2.97,0.99
Warner 25 Anos,Ant̫nio Carlos Jobim,Edmonton,Telus,,Canada,14,mphilips12@shaw.ca,Mark,Jazz,1/6/08 00:00,4,Philips,MPEG audio file,+1 (780) 434-4554,T6G 2C7,North  America,AB,Por Causa De Voc̻,5.54M,169900,1,5,4.95,0.99
Jagged Little Pill,Alanis Morissette,Edmonton,Telus,Alanis Morissette & Glenn Ballard,Canada,14,mphilips12@shaw.ca,Mark,Rock,1/6/08 00:00,4,Philips,MPEG audio file,+1 (780) 434-4554,T6G 2C7,North  America,AB,Right Through You,5.79M,176117,1,5,4.95,0.99
Jagged Little Pill,Alanis Morissette,Edmonton,Telus,Alanis Morissette & Glenn Ballard,Canada,14,mphilips12@shaw.ca,Mark,Rock,1/6/08 00:00,4,Philips,MPEG audio file,+1 (780) 434-4554,T6G 2C7,North  America,AB,Not The Doctor,7.60M,227631,1,5,4.95,0.99
Facelift,Alice In Chains,Edmonton,Telus,"Jerry Cantrell, Michael Starr, Layne Staley",Canada,14,mphilips12@shaw.ca,Mark,Rock,1/6/08 00:00,4,Philips,MPEG audio file,+1 (780) 434-4554,T6G 2C7,North  America,AB,Confusion,11.18M,344163,1,5,4.95,0.99
Alcohol Fueled Brewtality Live! [Disc 1],Black Label Society,Boston,,,USA,23,johngordon22@yahoo.com,John,Metal,1/11/08 00:00,5,Gordon,MPEG audio file,+1 (617) 522-1333,2113,North  America,MA,Super Terrorizer,10.51M,319373,1,1,0.99,0.99
Body Count,Body Count,Boston,,,USA,23,johngordon22@yahoo.com,John,Alternative & Punk,1/11/08 00:00,5,Gordon,MPEG audio file,+1 (617) 522-1333,2113,North  America,MA,Body Count Anthem,5.46M,166426,1,2,1.98,0.99
Body Count,Body Count,Boston,,,USA,23,johngordon22@yahoo.com,John,Alternative & Punk,1/11/08 00:00,5,Gordon,MPEG audio file,+1 (617) 522-1333,2113,North  America,MA,Bowels Of The Devil,7.32M,223216,1,2,1.98,0.99
